Title,Reviews,Review_Points,Address,Website,Phone,latitude,longitude,Category
Waa Cafe Flavour Milk,25 reviews,5.0,"Shop No 35. Badi Masjid DDA Flats Complex, in front of I-Block Asaf Ali Road, Turkman Gate, Phatak Teliyan, Kalyanpura, Chandni Chowk, Delhi, 110006, India",Add website,091 93135 28940,28.642746,77.2323859,Pakistani restaurant
Open House Cafe,"5,320 reviews",4.1,"C Block, C 37, Radial Rd 5, Block C, Connaught Place, New Delhi, Delhi 110001, India",openhousecafe.in,091 99996 11332,28.6343326,77.220559!,Cafe
CafÃÂ© Coffee Day,"8,176 reviews",4.1,"Viva Inn, NDA Road Chandani Chowk, Next To Bypass Highway, Pashan Rd, Pune, Maharashtra 411021, India",cafecoffeeday.com,091 1800 102 5093,18.5080199,73.7827673,Cafe
New Poona Bakery & Cafe,282 reviews,4.0,"Dharamshi Milestone Chandani Chowk, NDA Pashan Rd, Pune, Maharashtra 411021, India",Add website,091 96650 15178,18.5079826,73.7828798,Cafe
chatpata chandni chowk,57 reviews,4.5,"Church Mission Rd, opp. stephen's church, Bagh Deewar, Fatehpuri, Old Delhi, Delhi, 110006, India",business.site,091 98734 63429,28.6590293,77.2235954,Pakistani restaurant
CafÃÂ© Coffee Day,"2,303 reviews",4.1,"6, Chittaranjan Ave, Esplanade, Chandni Chawk, East Kolkata Twp, Kolkata, West Bengal 700072, India",cafecoffeeday.com,091 1800 102 5093,22.5671476,88.3548898,Cafe
Chandni Chowk Restaurant,"4,509 reviews",4.3,"227 Gurumangat Rd, Block A3 Block A 3 Gulberg III, Lahore, Punjab, Pakistan",chandnichowk.pk,092 320 4751111,31.504717,74.3572285,Other
BATTALION 06,488 reviews,4.8,"241-242 & 275-276 Second Floor, above Equitas Bank, Fatehpuri, Chandni Chowk, Delhi, 110006, India",Add website,091 90907 34444,28.6568037,77.2238202,Pakistani restaurant
Diggin Cafe,"11,087 reviews",4.4,"Santushti Shopping Complex Shop No-10 Opp Samrat Hotel, New Delhi, Delhi 110003, India",diggin.co.in,091 11 2611 0788,28.5950833,77.198186!,Cafe
Haldiram's,"14,274 reviews",4.1,"1454, Chandni Chowk Rd, near sis ganj Gurdwara, Kucha Mahajani, Chandni Chowk, New Delhi, Delhi 110006, India",haldirams.com,Add place's phone number,28.6564393,77.2314336,Pakistani restaurant
Hi Tea,2 reviews,5.0,"College Road, Block 2 Sector C-1 Ahmed Avenue, Lahore, Punjab 54782, Pakistan",business.site,092 306 9854891,31.4503189,74.2980682,Pakistani restaurant
CAARA CafÃÂ©,111 reviews,3.7,"British Council, 17, KG Marg, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India",caara.com,091 98102 04427,28.6269999,77.2224802,Cafe
The Walled City - CafÃÂ© & Lounge,159 reviews,4.2,"288, Benito Juarez Marg, Moti Bagh II, Satya Niketan, South Moti Bagh, New Delhi, Delhi 110021, India",zoma.to,091 85888 52888,28.588663,77.1690602,Cafe
Chandni Chowk 2 Bangalore,391 reviews,3.8,"No. 6, 1st Floor, 10th Main, Opp Sabari Juice Junction, Jeevan Bima Nagar Main Rd, HAL 3rd Stage, Bengaluru, Karnataka 560075, India",foodism.in,091 80 4372 2489,12.968601,77.648977!,Other
Mission Cafe,942 reviews,3.9,"20, Ganesh Chandra Avenue, Road, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700013, India",missioncafe.business.site,091 99034 78320,22.5682931,88.3555377,Other
Indian Coffee House,"1,361 reviews",4.1,"5, Chittaranjan Ave, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700072, India",Add website,091 33 2237 5649,22.5668756,88.353313!,Coffee shop
Chandni Chowk Cafe & Bar,2 reviews,5.0,"Lakeside 6, Foot Track, Pokhara 30070, Nepal",business.site,0977 980-8600820,28.2116276,83.9555847,Pakistani restaurant
Giani's,"8,350 reviews",4.2,"Church Mission Rd, Bagh Deewar, Katra Ghel, Khari Baoli, Chandni Chowk, New Delhi, Delhi 110006, India",gianisicecream.com,Add place's phone number,28.6579546,77.2232162,Other
Chandni chowk junction,6 reviews,4.7,"B-356, main market, Block B, Bhajanpura, Shahdara, Delhi, 110053, India",Add website,Add place's phone number,28.7007867,77.2597032,Pakistani restaurant
Main Lassi Shop,30 reviews,4.0,"12 2nd floor above Rb super market chandhi, Chandni Chowk Rd, Shivaji Nagar, Bengaluru, Karnataka 560051, India",Add website,Add place's phone number,12.9872632,77.6027743,Ice cream shop
Chandni Chok Cafe,44 reviews,4.3,"287 Cheetham Hill Rd, Cheetham Hill, Manchester M8 0SN, United Kingdom",chandnichok.co.uk,044 161 203 5024,53.5011054,-2.2362877,Cafe
Natraj Dahi Bhalla,"7,518 reviews",3.8,"1396, Main Road, beside Central Bank, Kucha Mahajani, Chandni Chowk, New Delhi, Delhi 110006, India",Add website,Add place's phone number,28.6564436,77.2304531,Fast food restaurant
Kake Di Hatti,"7,491 reviews",4.1,"Church Mission Rd, Cloth Market, Katra Ghel, Khari Baoli, Chandni Chowk, New Delhi, Delhi 110006, India",kakedihatti.com,Add place's phone number,28.6581323,77.2232449,Other
Jijai Coffee House,"4,380 reviews",4.2,"Shop Number 6, Mantri Lavendula, Paud Rd, Pranjali Patil Nagar, Bavdhan, Pune, Maharashtra 411021, India",Add website,091 98509 82119,18.5080335,73.7724691,Pakistani restaurant
Raj Chandni Chowk Wala,25 reviews,3.9,"Aggarwal Millenium Tower 1, G-40, Netaji Subash Place, Wazirpur, New Delhi, Delhi 110014, India",Add website,091 92502 72528,28.6922224,77.1506734,Fast food restaurant
A.C.DINING HALL,3 reviews,3.7,"20, Ganesh Chandra Ave, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700013, India",Add website,091 33 2237 0997,22.5681877,88.3554584,Fast food restaurant
Qla,"1,468 reviews",4.3,"4-A Seven Style Mile, Kalka Das Marg, next to Qutab Minar, Mehrauli, New Delhi, Delhi 110030, India",qla.co.in,091 85270 98766,28.5271137,77.1856362,Other
MIABELLA,"2,125 reviews",4.0,"50E 2nd Floor, Hauz Khas Fort Rd, Hauz Khas Village, Hauz Khas, New Delhi, Delhi 110016, India",miabellahospitality.com,091 84482 01901,28.5536442,77.1943483,Pakistani restaurant
Kanwarji's,"1,242 reviews",4.0,"Sagar Chambers, G-1, Saini Enclave, Karkardooma, New Delhi, Delhi 110092, India",kanwarjis.in,091 88106 93435,28.6509451,77.3051361,Other
Olive Bar & Kitchen,"2,777 reviews",4.4,"Mile 6, One Style, 8, Kalka Das Marg, Seth Sarai, Mehrauli, New Delhi, Delhi 110030, India",olivebarandkitchen.com,091 99104 57373,28.5257792,77.1841391,Other
Natraj Restaurant,87 reviews,3.4,"Shop No - 2366, Raj guru Road, Chuna Mandi, Pahar Ganj, Delhi, 110055, India",Add website,Add place's phone number,28.6435789,77.2110616,Pakistani restaurant
Mughlai Junction,"1,399 reviews",4.1,"N 33/10, Middle Circle, Next to Desi Vibes, Connaught Place, New Delhi, Delhi 110001, India",mughlaijunction.in,091 98110 24321,28.6306504,77.2204996,Other
Garden Court Restaurant,"5,393 reviews",3.9,"76, NDA Pashan Rd, Bhusari Colony, Bavdhan, Pune, Maharashtra 411021, India",Add website,Add place's phone number,18.5043241,73.7884951,Pakistani restaurant
LCC LOVE FROM CHANDNI CHOWK,50 reviews,4.7,"190/1520, Motilal nagar Road, Best Marg ,opp Neeta Apartment, Goregaon West, Mumbai, Maharashtra 400104, India",orderhere.io,091 85278 81744,19.1551315,72.8365762,Pakistani restaurant
Al Qureshi's,"2,260 reviews",4.2,"Shop No 8 Narmada Shopping Complex, Opp Don Bosco School, Greater Kailash II, New Delhi, Delhi 110048, India",alqureshis.business.site,Add place's phone number,28.527711,77.2469807,Other
Chandni Chowk Restaurant,663 reviews,4.3,"1426 Gerrard St E, Toronto, ON M4L 1Z6, Canada",Add website,01 416-469-4466,43.6722723,-79.322508,Pakistani restaurant
Sindhi Chicken Corner,919 reviews,3.8,"9, Lu Market, Near Ramlila Maidan, Pitam Pura, New Delhi, Delhi 110034, India",Add website,Add place's phone number,28.7100961,77.144075!,Chicken restaurant
Rabri Faluda,10 reviews,3.2,"189 Church Mission Road Shajahanabad, Kucha Ghasiram, Chandni Chowk, New Delhi, Delhi 110006, India",Add website,Add place's phone number,28.6578877,77.2233989,Ice cream shop
Tummy Time,2 reviews,3.5,"252/A, Chittaranjan Ave, Manicktala, Azad Hind Bag, Kolkata, West Bengal 700006, India",Add website,Add place's phone number,22.5867455,88.3629682,Pakistani restaurant
Chandni Chowk Birmingham LTD,469 reviews,3.6,"125 Soho Rd, Handsworth, Birmingham B21 9ST, United Kingdom",chandnichowkbirmingham.com,044 121 554 0042,52.5022954,-1.9297589,Indian restaurant
Hotel Royal Afghan,30 reviews,3.4,"G -3663 - 3672, Near Subzi Mandi, Netaji Subhash Marg, Kucha Chalan, Khabas Pura, Daryaganj, New Delhi, Delhi 110002, India",Add website,091 99996 60491,28.6482819,77.2393754,Other
Darshan Sweets Shop,41 reviews,4.3,"Shop No-1, 17, DDA Market, Block S, Mangolpuri, Delhi, 110083, India",Add website,091 92684 13870,28.68965,77.0839109,Other
Bamboo Fast Food,"1,405 reviews",4.0,"Benazir BhuttoÃÂ Shehnaz Plaza, Near Chandni ChowkÃÂ Shaheed RoadÃÂ Rawalpindi, Pakistan",facebook.com,092 51 4906937,33.6305576,73.0716521,Fast food restaurant
KFC,"4,427 reviews",4.2,"219-B, opposite to Total Petrol Pump, Block B Satellite Town, Rawalpindi, Punjab 46000, Pakistan",kfcpakistan.com,092 51 111 532 532,33.6330687,73.0707816,Fast food restaurant
Zam Zam Restaurant,123 reviews,4.4,"4th StÃÂ, Commercial Market Rd, opp. new town, Rawalpindi, 46000, Pakistan",Add website,092 335 1926926,33.6384131,73.0681885,Fast food restaurant
Zam Zam Refreshment - Fast Food & Chinese,521 reviews,4.4,"Police Station, B-1255, Nadir Plaza, Opposite New Town, Commercial Market Rd, Satellite Town, Rawalpindi, 46000, Pakistan",business.site,092 51 8440065,33.6357063,73.0704695,Pakistani restaurant
Mamoo Burger Point,"3,669 reviews",3.7,"J3JC+JVC, Block B Satellite Town, Rawalpindi, Punjab, Pakistan",Add website,Add place's phone number,33.6315546,73.0721417,Fast food restaurant
Baoo Jee Murgh Pulao & Restaurant,504 reviews,4.0,"St. 11, B-Block Asghar Mall Scheme, Rawalpindi, Punjab 46000, Pakistan",baoojeemp.pk,092 51 4906104,33.6313518,73.0715546,Pakistani restaurant
Forks n Knives Pizza Kitchen,333 reviews,4.7,"B 211 4th road, Commercial Market Rd, Satellite Town, Rawalpindi, 46300, Pakistan",Add website,092 51 8443515,33.6333267,73.0705541,Fast food restaurant
Pizza Mania - Tulsa Road Branch,290 reviews,3.9,"Tulsa Rd, Lalazar, Rawalpindi, Punjab, Pakistan",pizzamania.pk,092 51 8355143,33.5686222,73.0562357,Pakistani restaurant
Rustic Pizza,53 reviews,3.5,"D -358, D Block Block D Satellite Town, Rawalpindi, Punjab, Pakistan",Add website,092 51 8434433,33.6414586,73.0728636,Cafe
Ranchers Saddar,"1,644 reviews",4.3,"Rizwan Arcade, Adam Jee Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",rancherscafe.com,092 51 5120558,33.5950078,73.055688!,Pakistani restaurant
Tomatino Pizza Fiesta,166 reviews,4.0,"Shop # LG 9, Block A, Plaza 23, Empire Heights IIÃÂ Hill Rd, Phase 6 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",tomatinopizzafiesta.com,092 51 51460145,33.5560969,73.1367937,Pakistani restaurant
Gulistan Restaurant,2 reviews,4.0,"Asim Centre, Chandni Chowk, Asghar Mall Scheme, Asghar Mall Scheme, Rawalpindi, Punjab 46000, Pakistan",Add website,092 300 8309389,33.6290727,73.0702268,Pakistani restaurant
Haleem House & Murgh Pulao,6 reviews,4.3,"Al-Ameer Plaza, 4th Rd, Chandni Chowk, Asghar Mall Scheme, Asghar Mall Scheme, Rawalpindi, Punjab 46000, Pakistan",Add website,092 51 4906999,33.6316847,73.0718081,Pakistani restaurant
TANDOORÃÂ° FÃÂ°SH,7 reviews,5.0,"4th-B Rd, Chandni Chowk Block B Satellite Town, Rawalpindi, Punjab 44000, Pakistan",Add website,092 315 5067067,33.6321898,73.070739!,Pakistani restaurant
Saeen G Murgh Pulao,88 reviews,3.8,"near Chandni Chowk, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",baoojeemp.pk,092 51 4571774,33.6354751,73.0704421,Pakistani restaurant
Sangla Burger & Refreshment Centre,8 reviews,3.6,"Al-Ameer Plaza, 4th Rd, Chandni Chowk, Asghar Mall Scheme, Asghar Mall Scheme, Rawalpindi, Punjab 46000, Pakistan",Add website,092 333 9543680,33.6317056,73.071724!,Pakistani restaurant
Rooftop Lounge,12 reviews,5.0,"Al-Bilal Plaza, Murree Road, Chandni Chowk, Rawalpindi, Pakistan",Add website,092 333 5007953,33.6320793,73.0735812,Pakistani restaurant
Tarka Restuarent & Bar B Q,13 reviews,4.7,"Saif Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",Add website,Add place's phone number,33.6319948,73.0722823,Pakistani restaurant
Al-Madina Hotel & Restaurant,22 reviews,3.8,"City-Sadar Road, Ibrahim Nagar Rawalpindi, Punjab 46000, Pakistan",Add website,Add place's phone number,33.6085503,73.0542636,Pakistani restaurant
Al Bilal Plaza,70 reviews,4.0,"Service Rd S, C Block Block C Satellite Town, Rawalpindi, Punjab, Pakistan",glaze.com,092 345 5464046,33.6317827,73.0733524,Pakistani restaurant
Sardar Lahori Fry Fish,181 reviews,4.1,"4th-B Rd, Block B Satellite Town, Rawalpindi, Punjab 46300, Pakistan",Add website,092 321 5353173,33.6317214,73.072174!,Other
Larosh Restaurant,509 reviews,4.1,"27/C, Committee ChowkÃÂ Murree Rd, Dhoke Elahi Baksh, Rawalpindi, Punjab 46000, Pakistan",facebook.com,092 51 5504419,33.6123711,73.0663578,Pakistani restaurant
Pizza O clock,5 reviews,5.0,"4th-B Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab 46000, Pakistan",fb.me,092 310 5773070,33.6321875,73.0704771,Fast food restaurant
Aseel Shinwari Restaurant,"1,184 reviews",4.2,"Kashmir Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",facebook.com,092 51 5112327,33.5993947,73.056685!,Pakistani restaurant
Deewan Broast,181 reviews,4.2,"J3JC+PV8, Block B Satellite Town, Rawalpindi, Punjab, Pakistan",Add website,092 51 4571508,33.6317969,73.0722122,Pakistani restaurant
Baoo Ji Murgh Palao & Restaurant,518 reviews,3.8,"32 Haider Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",baoojeemp.pk,092 51 5586900,33.5968122,73.0491098,Pakistani restaurant
Muhammadi Nahari House,"1,156 reviews",3.9,"Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab 46300, Pakistan",muhammadinaharihouse.com,092 51 4571009,33.6337436,73.0703259,Pakistani restaurant
Sharie Italian Pizza,1 review,5.0,"Commercial Market, Commercial Market Rd, Block B, Satellite Town, Block B Satellite Town, Rawalpindi, Punjab 46000, Pakistan",Add website,092 51 4335757,33.6360659,73.0703258,Pakistani restaurant
Saffron Foodies,"3,267 reviews",4.4,"4th Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab 44000, Pakistan",Add website,092 303 7772582,33.638079,73.0683587,Pakistani restaurant
Khyaban Restaurant,67 reviews,3.2,"Kashmir Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Add website,Add place's phone number,33.5979838,73.0544067,Pakistani restaurant
Mei Kong,"4,418 reviews",4.3,"32 Haider Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Add website,092 51 5566577,33.5968822,73.0485778,Chinese restaurant
Rajput Catering Services,8 reviews,4.0,"Al-Sheikh Plaza, Shop 13-14/A, 1st Floor, Murree Rd, Chandni Chowk, Block C Satellite Town, Rawalpindi, Punjab 46000, Pakistan",Add website,092 300 5314196,33.6309687,73.0732174,Other
Quetta Ahmed Khan Cafe,542 reviews,4.3,"Madina Market, Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab 46000, Pakistan",Add website,092 300 2164094,33.6363463,73.0700603,Cafe
Samosa House (old name Lahori Samosay),307 reviews,4.4,"College Rd, Naya Mohalla, Rawalpindi, Punjab 46000, Pakistan",Add website,092 321 5194491,33.6111271,73.0622732,Pakistani restaurant
Savour Foods,"19,949 reviews",4.4,"Gorden College Rd, Naya Mohalla, Rawalpindi, Punjab 46000, Pakistan",savourfoods.com.pk,092 51 5532556,33.610497,73.0624042,Pakistani restaurant
New Haleem Markaz,64 reviews,4.0,"J323+568, Saddar, Rawalpindi, Punjab 46000, Pakistan",Add website,092 321 5232900,33.6004174,73.0530892,Pakistani restaurant
Baoo Jee Resturant,"1,298 reviews",3.9,"Rahat Bakers, rafya mall, Lane Number 7, Rawalpindi, 46000, Pakistan",Add website,092 51 5199338,33.6077049,73.0130658,Pakistani restaurant
Zaytoun grill & Pizza,265 reviews,4.2,"Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab 46300, Pakistan",zaytoungrill.pizza,092 51 4571820,33.6339414,73.0703121,Pakistani restaurant
Pehlwan Gee Refreshment Centre,31 reviews,4.1,"Gulzar-e-Quaid Main Road, Gulzar e Quaid, Rawalpindi, Punjab, Pakistan",Add website,092 331 5050201,33.5982314,73.1291882,Pakistani restaurant
Haq Bahoo,664 reviews,4.0,"CB-85/23 Range Rd, PIA Colony, Rawalpindi, Punjab 46000, Pakistan",Add website,092 51 5160162,33.6006328,73.0132212,Pakistani restaurant
Pizza Hut,831 reviews,4.0,"B-228 Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab 46300, Pakistan",pizzahut.com.pk,092 51 4411144,33.6346295,73.0707842,Fast food restaurant
Pizza Hut,931 reviews,3.9,"Block 82-A, School Road, Near Arshi Masjid, Block A Satellite Town, Rawalpindi, Punjab, Pakistan",pizzahut.com.pk,092 42 111 241 241,33.6387738,73.0780924,Pakistani restaurant
Lahori dahi bhaly & chat,1 review,5.0,"Range Rd, Cantt View Colony, Rawalpindi, Punjab 46000, Pakistan",Add website,Add place's phone number,33.6011283,73.0006979,Pakistani restaurant
Savour Foods,"5,748 reviews",4.4,"Bagh Sardaran St # 4, Chungi Number 4, Rawalpindi, Punjab 46000, Pakistan",savourfoods.com.pk,092 51 5536376,33.6228242,73.0532091,Pakistani restaurant
Pizza Hut,128 reviews,3.9,"Silk center, First Floor, Food Court, Block B, Main Murree Rd, Block B Satellite Town, Rawalpindi, Punjab, Pakistan",pizzahut.com.pk,092 42 111 241 241,33.636446,73.074382!,Pakistani restaurant
Saffron Restaurant,"1,122 reviews",4.2,"Pindi StadiumÃÂ Food St, Dhoke Babu Irfan Shamsabad, Rawalpindi, Punjab 46000, Pakistan",Add website,092 51 4855018,33.6518395,73.0770192,Pakistani restaurant
Awan Tent and Catering Service,1 review,5.0,"J432+2WW, Chaklala Cantt., Rawalpindi, Punjab 46000, Pakistan",Add website,092 300 5163193,33.6026196,73.102352!,Pakistani restaurant
KFC,"2,857 reviews",4.0,"Main commercial market opposite of Shaheen Chemist ChaklalaÃÂ Chaklala Scheme 3 Chaklala Housing Scheme 3, Rawalpindi, Punjab 46000, Pakistan",kfcpakistan.com,092 51 5766073,33.5850711,73.0894209,Fast food restaurant
Mamu jee burger and refreshment corner,35 reviews,3.7,"Unnamed Road lane 2, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Add website,092 342 1657499,33.5180041,73.1056202,Fast food restaurant
"Zorro""s Broast",4 reviews,4.5,"Street 7-B, Phase 7 Phase 1 Phase 1 Bahria Town, Rawalpindi, Punjab, Pakistan",Add website,092 51 8990357,33.5213355,73.1079982,Pakistani restaurant
Cafe Spice Hut,2 reviews,5.0,"house#108/b , sec#1, chandni chowk , KTS, Haripur, 22620, Pakistan",Add website,092 333 5074144,34.017698,72.9159645,Pakistani restaurant
Lakhori,138 reviews,4.2,"2293, Gali Anar, Dharam Pura, Old Delhi, Delhi, 110006, India",havelidharampura.com,091 11 4909 1777,28.6532752,77.2323716,Other
"Bikanervala - Indian Restaurant in Chandni Chowk, New Delhi","1,376 reviews",4.0,"382, Kucha Seth Rd, Gachi Ram, Fatehpuri, Chandni Chowk, Delhi, 110006, India",bikanervala.com,091 11 2397 5341,28.6569204,77.224396!,Pakistani restaurant
Pindi Restaurant Delhi,"1,781 reviews",4.2,"16, Pandara Rd, Pandara Flats, Market, New Delhi, Delhi 110003, India",Add website,091 98187 39131,28.6078991,77.2296411,Other
Shiv Misthan Bhandar & Restaurant,668 reviews,4.0,"375, Chandni Chowk Rd, Kucha Ghasiram, Chandni Chowk, New Delhi, Delhi 110006, India",Add website,091 11 2392 1406,28.6568613,77.2244168,Other
Aslam Chicken,"12,159 reviews",4.2,"982, Matia Mahal Rd, Bazar Matia Mahal, Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006, India",Add website,091 93122 81022,28.6486338,77.2337087,Chicken restaurant
Al Jawahar Restaurant,"9,093 reviews",3.8,"Shop no. 8, Jama Masjid, opposite Gate Number 1, Bazar Matia Mahal, Kalan Mehal, Ansari Nagar East, New Delhi, Delhi 110006, India",aljawaharrestaurant.com,091 98216 96018,28.649527,77.2335957,Other
Gole Hatti,412 reviews,4.0,"2,3, 4, Khari Baoli Rd, Katra Pedan, Fatehpuri, Old Delhi, Delhi, 110006, India",Add website,091 11 2397 8934,28.6574158,77.2230941,Other
Standard Restaurant,18 reviews,3.3,"2046, HC Sen Marg, Fountain, Bhagirath Palace, Chhippy Wada, Chandni Chowk, Delhi, 110006, India",Add website,091 97110 37054,28.6575461,77.2321098,Other
Jung Bahadur Kachori Wala,"2,907 reviews",4.1,"1104, Gali Bhojpura Rd, Kinari Bazar, Maliwara, Katra Shah N Shah, Chandni Chowk, New Delhi, Delhi 110006, India",jbkachoriwala.com,091 98916 98995,28.6556927,77.2300195,Pakistani restaurant
The brijwasi restaurant,14 reviews,3.3,"379, Katra Bariyan, Fatehpuri, Old Delhi, Delhi, 110006, India",Add website,091 11 2398 6090,28.6562936,77.2232105,Pakistani restaurant
Mughlai Restaurant,134 reviews,3.9,"2565, Area, Choori Walan, Manohar Market, Jama Masjid, Delhi, 110006, India",Add website,Add place's phone number,28.6484356,77.23108!1,Other
Old Famous Jalebi Wala,"6,978 reviews",4.0,"1795, Dariba Corner, opp. Bank of Maharashtra, Dariba Kalan, Chandni Chowk, New Delhi, Delhi 110006, India",business.google.com,091 98110 20546,28.6560598,77.2335002,Other
Haji Mohd. Hussain,"1,631 reviews",4.3,"No.113, Matia Mahal Rd, Bazar Matia Mahal, Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006, India",Add website,091 98100 98736,28.649095,77.2336356,Chicken restaurant
Bhaja Govindam,"2,163 reviews",4.3,"Delite Theater Building, Asaf Ali Rd, opp. MCD Park, New Delhi, Delhi 110057, India",Add website,091 11 2327 5356,28.6411357,77.2363728,Other
Smile Darbar A Family Restaurant,228 reviews,4.0,"G-7, Vardhman City 2 Plaza, Asaf Ali Rd, Delhi, 110002, India",business.site,091 88105 77074,28.642521,77.2318801,Indian restaurant
"Chandni chowk restaurant ,Nagpur",21 reviews,4.3,"Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",Add website,091 91194 66003,21.1352475,79.0786565,Other
Amritsari Lassi Wala,630 reviews,4.0,"295, Chowk Fatehpuri, Chandani Chowk, Chandani Chowk, New Delhi, Delhi 110006, India",Add website,091 98100 55621,28.6565465,77.2234147,Juice shop
Chandni Chowk Restaurant,999 reviews,3.9,"Mall Rd, Mallital, Nainital, Uttarakhand 263002, India",Add website,091 81264 99991,29.3826458,79.4637884,Indian restaurant
Abdul Ghani Qureshi Kabab Corner,"6,283 reviews",4.4,"Gate no. 1, Near Jama Masjid, Urdu Bazar, New Delhi, Delhi 110006, India",Add website,091 97173 26041,28.6498537,77.2349502,Other
Delhi Food Walks,315 reviews,4.1,"near Paranthe Wali gali, Katra Lehswan, Chandni Chowk, New Delhi, Delhi 110006, India",delhifoodwalks.com,091 81780 27919,28.6560211,77.2305093,Pakistani restaurant
Khemchand Daulat ki Chaat,"1,056 reviews",3.9,"Naughara Jain Temple Kinari Bazar Gali Paranthe wali Chandni Chowk, Old Delhi, Delhi, 110006, India",business.site,091 98115 23861,28.6555058,77.2309906,Other
Chandni Chowk,605 reviews,3.2,"106 The Broadway, Southall UB1 1QF, United Kingdom",chandnichowkrestaurant.com,044 20 8867 7200,51.5117286,-0.3809166,Indian restaurant
Shakahari Restaurant,"1,202 reviews",4.0,"3624, 9, Chawri Bazar Rd, Bazar Sirkiwalan, Hauz Qazi, Old Delhi, Delhi, 110006, India",Add website,091 93110 97333,28.6492249,77.2271496,Other
Nand Di Hatti,"1,296 reviews",4.1,"Pan Mandi, Narain Market, Sadar Bazaar, Delhi, 110006, India",nanddihatti.do.in,091 99587 17192,28.6568825,77.2152175,Other
Karim's Hotel Pvt. Ltd.,"11,572 reviews",3.8,"16 Gali Kababian Jama Masjid, Old Delhi, Delhi, 110006, India",karimhotels.com,091 11 2326 4981,28.6494899,77.2337644,Other
Chandni Chowk Restaurant,209 reviews,3.8,"Al Kuleiah StÃÂ Muscat, Oman",Add website,0968 9201 6980,23.5856239,58.4237521,Indian restaurant
Chandni Chowk Indian Restaurant,188 reviews,4.7,"360 Sydney Rd, Coburg VIC 3058, Australia",chandnichowkindianrestaurant.com.au,061 3 9386 0892,-37.7452747,144.966071,Pakistani restaurant
Kuremal's Mohanlal Kulfi Wale,"2,335 reviews",4.4,"Shop No. 526 Kucha Pati Ram, Sitaram Bazar Rd, Chawri Bazar, New Delhi, Delhi 110006, India",kuremalskulfi.com,091 98105 40106,28.6476834,77.2269219,Ice cream shop
Pt. Ved Parkash Lemon Wale,285 reviews,4.2,"Chandni Chowk Rd, Katra Nagpuri, Katra Asharfi, Old Delhi, New Delhi, Delhi 110006, India",Add website,Add place's phone number,28.6562933,77.227198!,Juice shop
CHANDNI CHOWK,48 reviews,3.2,"1585 Oak Tree Rd, Iselin, NJ 08830",Add website,(732) 379-4743,40.5725954,-74.334764,Indian restaurant
Shyam sweets,"2,466 reviews",4.1,"112, Raghu Ganj, Chawri Bazar, Chandni Chowk, Delhi, 110006, India",shyamsweets.in,091 97110 08900,28.6505201,77.230079!,Other
Halal Chandni chowk,213 reviews,4.1,"2570 Bronxwood Ave, Bronx, NY 10469",halalchandnichowk.com,(718) 325-5859,40.8653025,-73.861317,Pakistani restaurant
De Patisserie Club Bakery & Cafe Lounge in Rawalpindi and Islamabad,13 reviews,4.9,"Al Wahab Center D-801 5th Road, Commercial Market Rd, near Al Muzaffar Masjid, Satellite Town, Rawalpindi, 46000, Pakistan",business.site,092 332 5417171,33.6401788,73.0658318,Bakery
Crispy Crust,118 reviews,4.5,"841 D Commercial Market Rd, D Block Block D Satellite Town, Rawalpindi, Punjab 46300, Pakistan",Add website,092 51 8747999,33.6399382,73.0657522,Cafe
Jalil Student Cafe,4 reviews,4.3,"Commercial Market, Block B, Satellite Town, Block B Satellite Town, Rawalpindi, Punjab 46000, Pakistan",Add website,Add place's phone number,33.6372064,73.0686496,Cafe
Cafe 92,4 reviews,4.5,"Commercial Market, Commercial Market Rd, Block B, Satellite Town, Block B Satellite Town, Rawalpindi, Punjab 46000, Pakistan",Add website,Add place's phone number,33.6331406,73.0703288,Cafe
Kaldi's cafe & grill,17 reviews,4.5,"Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",Add website,092 51 4264022,33.6377137,73.0717387,Pakistani restaurant
